time,Sn100,Sn90,Sn80,Sn71,Sn64,Sn54,Sn47,Sn40,Sn33,Sn20,Sn10,Sn0
739,,,,,,,119.79,,133.09,,,
740,,,,,,,119.46,,133.06,,,
741,,,,,,,119.14,,133.06,,,
742,,,,,,,118.79,,133.06,,,
743,,,,,,,118.46,,133.04,,,
744,,,,,,,118.16,,133.04,,,
745,,,,,,,117.86,,133.01,,,
746,,,,,,,117.51,,133.01,,,
747,,,,,,,117.21,,133.01,,,
748,,,,,,,116.91,,132.99,,,
749,,,,,,,116.61,,132.96,,,
750,,,,,,,116.31,,132.96,,,
751,,,,,,,115.99,,132.94,,,
752,,,,,,,115.69,,132.94,,,
753,,,,,,,115.41,,132.94,,,
754,,,,,,,115.11,,132.94,,,
755,,,,,,,114.76,,132.91,,,
756,,,,,,,114.44,,132.91,,,
757,,,,,,,114.16,,132.91,,,
758,,,,,,,113.89,,132.89,,,
759,,,,,,,113.56,,132.86,,,
760,,,,,,,113.29,,132.84,,,
761,,,,,,,113.04,,132.84,,,
762,,,,,,,112.74,,132.81,,,
763,,,,,,,112.41,,132.81,,,
764,,,,,,,112.14,,132.79,,,
765,,,,,,,111.86,,132.79,,,
766,,,,,,,111.59,,132.76,,,
767,,,,,,,111.29,,132.74,,,
768,,,,,,,111.01,,132.71,,,
769,,,,,,,110.71,,132.69,,,
770,,,,,,,110.44,,132.69,,,
771,,,,,,,110.11,,132.66,,,
772,,,,,,,109.86,,132.64,,,
773,,,,,,,109.59,,132.61,,,
774,,,,,,,109.34,,132.61,,,
775,,,,,,,109.04,,132.61,,,
776,,,,,,,108.74,,132.59,,,
777,,,,,,,,,132.56,,,
778,,,,,,,,,132.56,,,
779,,,,,,,,,132.54,,,
780,,,,,,,,,132.54,,,
781,,,,,,,,,132.51,,,
782,,,,,,,,,132.49,,,
783,,,,,,,,,132.46,,,
784,,,,,,,,,132.44,,,
785,,,,,,,,,132.44,,,
786,,,,,,,,,132.41,,,
787,,,,,,,,,132.39,,,
788,,,,,,,,,132.36,,,
789,,,,,,,,,132.36,,,
790,,,,,,,,,132.34,,,
791,,,,,,,,,132.34,,,
792,,,,,,,,,132.31,,,
793,,,,,,,,,132.26,,,
794,,,,,,,,,132.26,,,
795,,,,,,,,,132.24,,,
796,,,,,,,,,132.21,,,
797,,,,,,,,,132.19,,,
798,,,,,,,,,132.16,,,
799,,,,,,,,,132.16,,,
800,,,,,,,,,132.14,,,
801,,,,,,,,,132.11,,,
802,,,,,,,,,132.06,,,
803,,,,,,,,,132.04,,,
804,,,,,,,,,132.04,,,
805,,,,,,,,,132.01,,,
806,,,,,,,,,131.99,,,
807,,,,,,,,,131.96,,,
808,,,,,,,,,131.94,,,
809,,,,,,,,,131.89,,,
810,,,,,,,,,131.89,,,
811,,,,,,,,,131.84,,,
812,,,,,,,,,131.81,,,
813,,,,,,,,,131.79,,,
814,,,,,,,,,131.76,,,
815,,,,,,,,,131.74,,,
816,,,,,,,,,131.71,,,
817,,,,,,,,,131.69,,,
818,,,,,,,,,131.64,,,
819,,,,,,,,,131.61,,,
820,,,,,,,,,131.59,,,
821,,,,,,,,,131.54,,,
822,,,,,,,,,131.51,,,
823,,,,,,,,,131.49,,,
824,,,,,,,,,131.44,,,
825,,,,,,,,,131.41,,,
826,,,,,,,,,131.36,,,
827,,,,,,,,,131.31,,,
828,,,,,,,,,131.29,,,
829,,,,,,,,,131.24,,,
830,,,,,,,,,131.21,,,
831,,,,,,,,,131.16,,,
832,,,,,,,,,131.11,,,
833,,,,,,,,,131.06,,,
834,,,,,,,,,131.01,,,
835,,,,,,,,,130.94,,,
836,,,,,,,,,130.89,,,
837,,,,,,,,,130.84,,,
838,,,,,,,,,130.79,,,
839,,,,,,,,,130.69,,,
840,,,,,,,,,130.64,,,
841,,,,,,,,,130.56,,,
842,,,,,,,,,130.49,,,
843,,,,,,,,,130.41,,,
844,,,,,,,,,130.34,,,
845,,,,,,,,,130.26,,,
846,,,,,,,,,130.19,,,
847,,,,,,,,,130.11,,,
848,,,,,,,,,130.06,,,
849,,,,,,,,,129.99,,,
850,,,,,,,,,129.91,,,
851,,,,,,,,,129.84,,,
852,,,,,,,,,129.79,,,
853,,,,,,,,,129.71,,,
854,,,,,,,,,129.64,,,
855,,,,,,,,,129.54,,,
856,,,,,,,,,129.49,,,
857,,,,,,,,,129.39,,,
858,,,,,,,,,129.31,,,
859,,,,,,,,,129.24,,,
860,,,,,,,,,129.14,,,
861,,,,,,,,,129.06,,,
862,,,,,,,,,128.99,,,
863,,,,,,,,,128.89,,,
864,,,,,,,,,128.81,,,
865,,,,,,,,,128.71,,,
866,,,,,,,,,128.64,,,
867,,,,,,,,,128.54,,,
868,,,,,,,,,128.44,,,
869,,,,,,,,,128.34,,,
870,,,,,,,,,128.24,,,
871,,,,,,,,,128.14,,,
872,,,,,,,,,128.04,,,
873,,,,,,,,,127.94,,,
874,,,,,,,,,127.81,,,
875,,,,,,,,,127.69,,,
876,,,,,,,,,127.56,,,
877,,,,,,,,,127.44,,,
878,,,,,,,,,127.34,,,
879,,,,,,,,,127.21,,,
880,,,,,,,,,127.09,,,
881,,,,,,,,,126.96,,,
882,,,,,,,,,126.84,,,
883,,,,,,,,,126.71,,,
884,,,,,,,,,126.56,,,
885,,,,,,,,,126.41,,,
886,,,,,,,,,126.29,,,
887,,,,,,,,,126.14,,,
888,,,,,,,,,126.01,,,
889,,,,,,,,,125.84,,,
890,,,,,,,,,125.69,,,
891,,,,,,,,,125.54,,,
892,,,,,,,,,125.36,,,
893,,,,,,,,,125.14,,,
894,,,,,,,,,124.96,,,
895,,,,,,,,,124.79,,,
896,,,,,,,,,124.61,,,
897,,,,,,,,,124.41,,,
898,,,,,,,,,124.21,,,
899,,,,,,,,,123.99,,,
900,,,,,,,,,123.79,,,
901,,,,,,,,,123.54,,,
902,,,,,,,,,123.31,,,
903,,,,,,,,,123.11,,,
904,,,,,,,,,122.86,,,
905,,,,,,,,,122.61,,,
906,,,,,,,,,122.36,,,
907,,,,,,,,,122.11,,,
908,,,,,,,,,121.84,,,
909,,,,,,,,,121.54,,,
910,,,,,,,,,121.26,,,
911,,,,,,,,,120.99,,,
912,,,,,,,,,120.71,,,
913,,,,,,,,,120.41,,,
914,,,,,,,,,120.16,,,
915,,,,,,,,,119.89,,,
916,,,,,,,,,119.61,,,
917,,,,,,,,,119.34,,,
918,,,,,,,,,119.06,,,
919,,,,,,,,,118.81,,,
920,,,,,,,,,118.56,,,
921,,,,,,,,,118.31,,,
922,,,,,,,,,118.01,,,
923,,,,,,,,,117.76,,,
924,,,,,,,,,117.51,,,
925,,,,,,,,,117.24,,,
926,,,,,,,,,116.96,,,
927,,,,,,,,,116.71,,,
928,,,,,,,,,116.46,,,
929,,,,,,,,,116.21,,,
930,,,,,,,,,115.96,,,
931,,,,,,,,,115.69,,,
932,,,,,,,,,115.44,,,
933,,,,,,,,,115.19,,,
934,,,,,,,,,114.91,,,
935,,,,,,,,,114.66,,,
936,,,,,,,,,114.44,,,
937,,,,,,,,,114.19,,,
938,,,,,,,,,113.94,,,
939,,,,,,,,,113.71,,,
940,,,,,,,,,113.46,,,
941,,,,,,,,,113.21,,,
942,,,,,,,,,112.96,,,
943,,,,,,,,,112.71,,,
944,,,,,,,,,112.49,,,
945,,,,,,,,,112.24,,,
946,,,,,,,,,111.99,,,
947,,,,,,,,,111.74,,,
948,,,,,,,,,111.51,,,
949,,,,,,,,,111.29,,,
950,,,,,,,,,111.06,,,
951,,,,,,,,,110.79,,,
952,,,,,,,,,110.56,,,
953,,,,,,,,,110.34,,,
954,,,,,,,,,110.09,,,
955,,,,,,,,,109.84,,,
956,,,,,,,,,109.61,,,
957,,,,,,,,,109.39,,,
958,,,,,,,,,109.14,,,
959,,,,,,,,,108.89,,,
960,,,,,,,,,108.64,,,
961,,,,,,,,,108.41,,,
962,,,,,,,,,108.19,,,
963,,,,,,,,,107.94,,,
964,,,,,,,,,107.71,,,
965,,,,,,,,,107.49,,,
966,,,,,,,,,107.29,,,
967,,,,,,,,,107.01,,,
968,,,,,,,,,106.81,,,
969,,,,,,,,,106.59,,,
970,,,,,,,,,106.36,,,
971,,,,,,,,,106.11,,,
972,,,,,,,,,105.89,,,
973,,,,,,,,,105.69,,,
974,,,,,,,,,105.46,,,
975,,,,,,,,,105.21,,,
976,,,,,,,,,105.01,,,
977,,,,,,,,,104.76,,,
978,,,,,,,,,104.54,,,
979,,,,,,,,,104.31,,,
980,,,,,,,,,104.09,,,
981,,,,,,,,,103.89,,,
982,,,,,,,,,103.66,,,
983,,,,,,,,,103.46,,,
984,,,,,,,,,103.24,,,
985,,,,,,,,,103.04,,,
986,,,,,,,,,102.81,,,
987,,,,,,,,,102.61,,,
988,,,,,,,,,102.36,,,
989,,,,,,,,,102.16,,,
990,,,,,,,,,101.99,,,
991,,,,,,,,,101.79,,,
992,,,,,,,,,101.56,,,
993,,,,,,,,,101.36,,,
994,,,,,,,,,101.14,,,
995,,,,,,,,,100.94,,,
996,,,,,,,,,100.69,,,
997,,,,,,,,,100.49,,,
998,,,,,,,,,100.29,,,
999,,,,,,,,,100.11,,,
1000,,,,,,,,,99.89,,,
